name,128,64,32,16,8,4,2,1
Cameron Norrie,100.0%,39.300000000000004%,12.29%,2.64%,0.3%,0.04%,0.02%,0.0%
Tim Smyczek,100.0%,33.4%,9.049999999999999%,1.4000000000000001%,0.18%,0.02%,0.02%,0.0%
Ivo Karlovic,100.0%,45.75%,16.81%,4.3%,0.84%,0.16%,0.01%,0.0%
Julien Benneteau,100.0%,41.22%,13.3%,3.0%,0.62%,0.12%,0.01%,0.0%
Marco Cecchinato,100.0%,41.43%,13.11%,3.2%,0.54%,0.12%,0.01%,0.0%
Denis Istomin,100.0%,44.36%,15.72%,3.9%,0.7799999999999999%,0.11%,0.01%,0.0%
Tennys Sandgren,100.0%,41.64%,14.02%,3.2300000000000004%,0.72%,0.11%,0.01%,0.0%
Vasek Pospisil,100.0%,43.05%,14.649999999999999%,3.18%,0.64%,0.1%,0.01%,0.0%
Ricardas Berankis,100.0%,41.339999999999996%,13.68%,3.18%,0.62%,0.1%,0.01%,0.0%
Cedrik Marcel Stebe,100.0%,39.58%,12.15%,2.69%,0.5700000000000001%,0.09%,0.01%,0.0%
Bjorn Fratangelo,100.0%,41.0%,13.569999999999999%,3.06%,0.59%,0.08%,0.01%,0.0%
Gastao Elias,100.0%,39.62%,12.540000000000001%,2.76%,0.33%,0.08%,0.01%,0.0%
Maximilian Marterer,100.0%,41.52%,14.14%,3.25%,0.45999999999999996%,0.06999999999999999%,0.01%,0.0%
Taro Daniel,100.0%,39.97%,13.239999999999998%,2.75%,0.33999999999999997%,0.06%,0.01%,0.0%
Nikoloz Basilashvili,100.0%,43.580000000000005%,15.509999999999998%,3.5000000000000004%,0.73%,0.04%,0.01%,0.0%
Malek Jaziri,100.0%,38.42%,12.01%,2.54%,0.47000000000000003%,0.04%,0.01%,0.0%
Yuichi Sugita,100.0%,39.37%,12.659999999999998%,2.9899999999999998%,0.45999999999999996%,0.04%,0.01%,0.0%
Mikhail Kukushkin,100.0%,38.5%,11.97%,2.56%,0.5%,0.03%,0.01%,0.0%
Florian Mayer,100.0%,37.12%,10.45%,2.0500000000000003%,0.35000000000000003%,0.02%,0.01%,0.0%
Kamil Majchrzak,100.0%,53.26%,22.05%,6.79%,2.0%,0.37%,0.0%,0.0%
Yasutaka Uchiyama,100.0%,50.92%,19.15%,6.0%,1.31%,0.22999999999999998%,0.0%,0.0%
Ernests Gulbis,100.0%,46.18%,16.470000000000002%,4.24%,0.8200000000000001%,0.18%,0.0%,0.0%
Adam Pavlasek,100.0%,40.83%,14.249999999999998%,3.3300000000000005%,0.83%,0.16999999999999998%,0.0%,0.0%
Tomislav Brkic,100.0%,44.58%,16.16%,3.53%,1.0%,0.16%,0.0%,0.0%
Nicolas Kicker,100.0%,44.21%,16.13%,3.7800000000000002%,0.79%,0.16%,0.0%,0.0%
Andrej Martin,100.0%,46.69%,17.919999999999998%,4.54%,1.08%,0.15%,0.0%,0.0%
Ilya Ivashka,100.0%,46.739999999999995%,17.2%,4.41%,0.8699999999999999%,0.15%,0.0%,0.0%
Alexey Vatutin,100.0%,44.4%,14.799999999999999%,3.35%,0.7000000000000001%,0.15%,0.0%,0.0%
