2001-407,103344,21.9247091034,92,418,,Q
2001-407,101150,35.6769336071,45,830,,
2001-407,103206,22.7296372348,13,1760,7,
2001-407,102776,24.8405201916,42,860,,
2001-407,103819,19.5345653662,23,1150,,
2001-407,102184,27.9507186858,31,1010,,
2001-407,102854,24.4490075291,27,1073,,
2001-407,101733,30.8528405202,87,461,,WC
2001-407,102374,26.8610540726,8,2415,3,
2001-407,101820,30.2861054073,39,905,,
2001-407,103096,23.1759069131,12,1910,5,
2001-407,103193,22.7898699521,133,289,,WC
2001-407,102318,27.0636550308,24,1130,,
2001-407,102562,25.916495551,62,675,,
2001-407,103017,23.627652293,55,765,,
2001-407,101792,30.5188227242,86,462,,Q
2001-407,102338,27.0034223135,6,2550,2,
2001-402,101902,29.8234086242,146,271,,
2001-402,102162,28.1314168378,96,405,,
2001-402,102227,27.7152635181,98,401,,
2001-402,101964,29.4373716632,121,319,,WC
2001-402,102720,25.054072553,129,307,,
2001-402,103082,23.2525667351,90,426,,
2001-402,102524,26.0533880903,122,314,,
2001-402,102434,26.5900068446,196,194,,Q
2001-402,102817,24.6598220397,116,333,,
2001-402,102205,27.8165639973,127,307,,
2001-402,102821,24.6488706366,118,330,,
2001-402,102401,26.7104722793,256,136,,Q
2001-402,102966,23.8986995209,226,155,,Q
2001-402,103602,20.5612594114,106,372,,
2001-402,102247,27.5592060233,94,408,,
2001-402,104022,18.6557152635,80,497,,
2001-402,102652,25.4647501711,109,362,,
2001-402,103598,20.5886379192,120,324,,
2001-402,102135,28.2628336756,130,304,,
2001-402,102911,24.1122518823,99,401,,
2001-402,102642,25.5140314853,111,341,,
2001-402,102437,26.5407255305,144,276,,
2001-402,102179,27.9863107461,89,440,,
2001-402,104053,18.4750171116,124,310,,WC
2001-402,103240,22.5708418891,135,289,,Q
2001-402,104098,18.1902806297,219,165,,Q
2001-402,102925,24.0657084189,101,390,,
2001-402,102567,25.8891170431,107,371,,
2001-402,103387,21.6865160849,117,332,,
2001-402,103888,19.1978097194,264,130,,WC
2001-402,102987,23.7919233402,128,307,,
2001-402,102167,28.090349076,139,280,,Q
2001-402,101948,29.5249828884,3,3085,1,
2001-402,103356,21.8726899384,77,535,13,
2001-402,102106,28.4873374401,69,591,9,
2001-402,102021,28.9938398357,33,995,6,
2001-402,102839,24.5201916496,25,1130,4,
2001-402,102703,25.1307323751,83,488,15,
2001-402,101727,30.8802190281,76,536,12,
2001-402,103248,22.5434633812,64,674,8,
2001-402,102998,23.7152635181,28,1070,5,
2001-402,102607,25.6700889802,74,558,11,
2001-402,102834,24.5448323066,81,494,14,
2001-402,103163,22.8829568789,21,1210,3,
2001-402,102257,27.4551676934,51,790,7,
2001-402,101885,29.9274469541,70,583,10,
2001-402,101320,34.1300479124,78,515,16,
2001-402,102882,24.2847364819,18,1550,2,
2001-403,101820,30.3627652293,63,660,,
2001-403,102271,27.4140999316,53,730,,
2001-403,101897,29.9356605065,86,454,,Q
2001-403,102162,28.2080766598,87,450,,WC
2001-403,102446,26.5489390828,46,800,,
2001-403,101962,29.5167693361,58,695,,
2001-403,102287,27.3401779603,57,705,,
2001-403,102021,29.0704996578,35,965,,
2001-403,103428,21.5523613963,76,567,,
2001-403,101150,35.7535934292,42,825,,
2001-403,102344,27.0417522245,75,570,,
2001-403,102259,27.523613963,66,628,,
2001-403,103324,22.0999315537,60,675,,
2001-403,103252,22.5790554415,71,583,,
2001-403,104068,18.4476386037,1223,2,,Q
2001-403,103184,22.8884325804,135,285,,Q
2001-403,102854,24.5256673511,33,993,,
2001-403,103758,19.9014373717,178,225,,WC
2001-403,103454,21.440109514,62,666,,
2001-403,102257,27.5318275154,43,825,,
2001-403,103900,19.2114989733,146,273,,Q
2001-403,101885,30.0041067762,64,660,,
2001-403,101735,30.8911704312,123,330,,Q
2001-403,102567,25.9657768652,106,381,,Q
2001-403,103151,23.0527036277,73,580,,
2001-403,103181,22.9021218344,90,438,,
2001-403,102562,25.993155373,59,695,,
2001-403,101964,29.5140314853,115,359,,WC
2001-403,102860,24.5092402464,67,607,,
2001-403,103344,22.0013689254,88,448,,LL
2001-403,102817,24.7364818617,107,381,,Q
2001-403,102783,24.8980150582,50,760,,
2001-403,102905,24.2080766598,83,470,,
