player0,rank0,player1,rank1,proba0,proba1
104925.0,22.0,104620.0,129.0,0.8566084453163954,0.14339155468360465
104926.0,18.0,103333.0,92.0,0.5993699547686959,0.4006300452313041
104926.0,18.0,103893.0,74.0,0.705522787025906,0.29447721297409396
104926.0,18.0,103898.0,62.0,0.6839915246097155,0.3160084753902846
104926.0,18.0,103917.0,116.0,0.7253871805636953,0.2746128194363047
104926.0,18.0,103970.0,41.0,0.5284280175630295,0.4715719824369705
104926.0,18.0,104022.0,98.0,0.733061279929544,0.2669387200704561
104926.0,18.0,104180.0,34.0,0.5444410912553495,0.4555589087446506
104926.0,18.0,104198.0,67.0,0.6535400473071913,0.3464599526928087
104926.0,18.0,104252.0,90.0,0.7701743369292917,0.22982566307070829
104926.0,18.0,104259.0,24.0,0.4848208985187743,0.5151791014812257
