name,128,64,32,16,8,4,2,1,reached
Y. Bhambri,100.0%,50.05%,19.99%,5.46%,1.23%,0.25%,0.04%,0.01%,128
M. Copil,100.0%,49.559999999999995%,19.59%,5.16%,1.1400000000000001%,0.22%,0.04%,0.01%,128
J. Donaldson,100.0%,47.31%,17.75%,4.590000000000001%,0.9400000000000001%,0.15%,0.04%,0.01%,64
M. Baghdatis,100.0%,50.080000000000005%,20.23%,5.55%,1.24%,0.26%,0.03%,0.01%,128
D. Medvedev,100.0%,49.7%,19.64%,5.510000000000001%,1.1900000000000002%,0.21%,0.03%,0.01%,128
R. Carballes Baena,100.0%,48.59%,18.740000000000002%,4.83%,1.02%,0.19%,0.03%,0.01%,128
P. Andujar,100.0%,45.86%,16.25%,4.0%,0.79%,0.12%,0.03%,0.01%,128
M. Zverev,100.0%,47.660000000000004%,17.78%,4.390000000000001%,0.86%,0.13999999999999999%,0.02%,0.01%,32
J. Chardy,100.0%,51.11%,21.09%,5.93%,1.31%,0.25%,0.03%,0.0%,64
A. Seppi,100.0%,49.0%,19.3%,5.43%,1.21%,0.22%,0.03%,0.0%,128
M. Klizan,100.0%,49.35%,19.61%,5.19%,1.0999999999999999%,0.2%,0.03%,0.0%,64
J. Vesely,100.0%,48.96%,18.98%,4.99%,1.0699999999999998%,0.19%,0.03%,0.0%,128
D. Istomin,100.0%,46.77%,17.150000000000002%,4.130000000000001%,0.84%,0.13999999999999999%,0.02%,0.0%,128
E. Gulbis,100.0%,46.489999999999995%,16.950000000000003%,4.14%,0.8200000000000001%,0.13%,0.02%,0.0%,64
M. Jaziri,100.0%,45.129999999999995%,15.690000000000001%,3.64%,0.6799999999999999%,0.12%,0.02%,0.0%,64
P. Hugues Herbert,100.0%,44.85%,15.479999999999999%,3.52%,0.65%,0.12%,0.02%,0.0%,32
J. Lennard Struff,100.0%,46.82%,17.05%,4.21%,0.8200000000000001%,0.11%,0.02%,0.0%,64
N. Basilashvili,100.0%,46.129999999999995%,16.520000000000003%,3.9600000000000004%,0.7000000000000001%,0.1%,0.02%,0.0%,128
M. Basic,100.0%,43.25%,14.360000000000001%,3.06%,0.5700000000000001%,0.08%,0.02%,0.0%,128
T. Sandgren,100.0%,44.62%,15.479999999999999%,3.73%,0.72%,0.12%,0.01%,0.0%,128
S. Bolelli,100.0%,43.85%,15.010000000000002%,3.46%,0.62%,0.11%,0.01%,0.0%,128
A. De Minaur,100.0%,43.980000000000004%,14.99%,3.39%,0.61%,0.11%,0.01%,0.0%,128
G. Garcia Lopez,100.0%,45.82%,16.34%,4.04%,0.74%,0.1%,0.01%,0.0%,64
J. Benneteau,100.0%,42.99%,14.24%,3.05%,0.53%,0.08%,0.01%,0.0%,64
M. Kukushkin,100.0%,43.33%,14.37%,3.16%,0.51%,0.08%,0.01%,0.0%,128
C. Norrie,100.0%,44.32%,15.260000000000002%,3.52%,0.62%,0.06999999999999999%,0.01%,0.0%,64
L. Djere,100.0%,42.78%,14.06%,2.96%,0.51%,0.06999999999999999%,0.01%,0.0%,128
Y. Sugita,100.0%,41.53%,13.16%,2.87%,0.5%,0.06999999999999999%,0.01%,0.0%,128
V. Pospisil,100.0%,42.15%,13.65%,2.91%,0.48%,0.06999999999999999%,0.01%,0.0%,128
P. Lorenzi,100.0%,41.74%,13.25%,2.79%,0.48%,0.06999999999999999%,0.01%,0.0%,128
B. Tomic,100.0%,42.480000000000004%,13.74%,2.9000000000000004%,0.45999999999999996%,0.06%,0.01%,0.0%,128
H. Zeballos,100.0%,41.959999999999994%,13.320000000000002%,2.82%,0.44999999999999996%,0.06%,0.01%,0.0%,64
C. Ruud,100.0%,41.83%,13.29%,2.79%,0.44999999999999996%,0.06%,0.01%,0.0%,64
R. Berankis,100.0%,41.71%,13.239999999999998%,2.78%,0.44%,0.06%,0.01%,0.0%,128
D. Sela,100.0%,41.99%,13.139999999999999%,2.75%,0.43%,0.06%,0.01%,0.0%,128
S. Stakhovsky,100.0%,40.410000000000004%,12.26%,2.3800000000000003%,0.35000000000000003%,0.05%,0.01%,0.0%,64
I. Ivashka,100.0%,40.29%,12.27%,2.45%,0.38999999999999996%,0.04%,0.01%,0.0%,128
T. Bellucci,100.0%,38.97%,11.379999999999999%,2.09%,0.3%,0.04%,0.01%,0.0%,128
J. Thompson,100.0%,36.83%,9.82%,1.67%,0.25%,0.03%,0.01%,0.0%,128
J. Zopp,100.0%,36.84%,9.94%,1.7000000000000002%,0.22999999999999998%,0.03%,0.01%,0.0%,32
A. Pavlasek,100.0%,37.15%,10.15%,1.81%,0.24%,0.02%,0.01%,0.0%,64
D. Kudla,100.0%,38.68%,11.23%,2.07%,0.31%,0.04%,0.0%,0.0%,128
M. Marterer,100.0%,40.67%,12.27%,2.42%,0.37%,0.03%,0.0%,0.0%,16
M. Ebden,100.0%,38.129999999999995%,10.83%,2.0%,0.32%,0.03%,0.0%,0.0%,128
G. Andreozzi,100.0%,39.2%,11.51%,2.21%,0.31%,0.03%,0.0%,0.0%,64
