round,player_2,surface,court,age,atp_ranking,atp_points,name,hand,height,odd,AVG(ace),AVG(df),AVG(svpt),AVG(first_in),AVG(first_won),AVG(second_won),AVG(sv_gms),AVG(bp_saved),AVG(bp_faced)
R32,103598,Hard,Outdoor,31.4551676934,49,910,"Xavier Malisse",R,185,1.0,6.7063829787234,2.05744680851064,73.8063829787234,42.2021276595745,30.9914893617021,16.1553191489362,11.7382978723404,3.81914893617021,6.29787234042553
R16,104676,Hard,Outdoor,25.9055441478,98,580,"Andreas Beck",L,190,1.0,4.32352941176471,4.04901960784314,77.843137254902,46.1274509803922,32.1470588235294,16.6078431372549,11.9901960784314,4.23529411764706,6.86274509803922
R32,105051,Hard,Outdoor,25.0978781656,105,529,"Matthew Ebden",R,188,2.0,5.4,4.06666666666667,75.0888888888889,46.0333333333333,32.2444444444444,13.3555555555556,10.8,4.32222222222222,7.34444444444444
R64,104229,Hard,Outdoor,29.9575633128,60,790,"Yen Hsun Lu",R,180,1.0,3.82534246575342,3.30479452054795,70.0684931506849,42.2534246575342,29.7157534246575,13.736301369863,10.7534246575342,3.77739726027397,6.46575342465753
R64,106058,Hard,Outdoor,20.900752909,87,611,"Jack Sock",R,185,2.0,6.58778625954198,4.53435114503817,82.206106870229,47.4045801526718,34.7099236641221,17.9923664122137,12.3969465648855,4.13740458015267,6.58778625954198
R32,104494,Clay,Outdoor,28.2381930185,134,412,"Adrian Ungur",R,178,2.0,1.8135593220339,2.1864406779661,47.9322033898305,29.4915254237288,19.4576271186441,8.79661016949153,7.16949152542373,2.89830508474576,5.01694915254237
R32,104932,Clay,Outdoor,27.1649555099,102,561,"Kenny De Schepper",L,203,4.0,9.25,4.91071428571429,80.1071428571429,51.9642857142857,37.6964285714286,13.7321428571429,12.2142857142857,4.69642857142857,6.83928571428571
R16,104259,Clay,Outdoor,30.7816563997,24,1505,"Philipp Kohlschreiber",R,178,1.0,5.34259259259259,2.0679012345679,72.9737654320988,44.0123456790123,31.7067901234568,15.5354938271605,11.3163580246914,3.60648148148148,5.74074074074074
QF,103893,Clay,Outdoor,32.6160164271,83,644,"Paolo Lorenzi",R,183,3.0,3.56172839506173,2.67901234567901,73.8271604938272,43.5,29.6296296296296,14.679012345679,10.6604938271605,4.15432098765432,7.32716049382716
SF,104216,Clay,Outdoor,31.022587269,104,553,"Maximo Gonzalez",R,175,3.0,1.57534246575342,2.46575342465753,85.1506849315068,55.4520547945205,34.6712328767123,13.958904109589,12.6575342465753,6.20547945205479,10.2739726027397
F,106233,Clay,Outdoor,20.8980150582,50,882,"Dominic Thiem",R,"",1.0,5.0,2.91082802547771,78.0254777070064,45.7388535031847,33.6369426751592,17.2484076433121,10.8535031847134,3.76433121019108,5.97452229299363
R32,106233,Hard,Indoor,21.1279945243,39,1024,"Dominic Thiem",R,"",3.0,5.00602409638554,2.93975903614458,78.2228915662651,45.6867469879518,33.6566265060241,17.3253012048193,10.9819277108434,3.78915662650602,6.01807228915663
R16,104471,Hard,Indoor,29.7960301164,85,655,"Ivan Dodig",R,183,3.0,7.97747747747748,3.11261261261261,75.2207207207207,43.7972972972973,31.7657657657658,15.6261261261261,11.7162162162162,3.90540540540541,6.52702702702703
QF,105683,Hard,Indoor,23.8138261465,9,3840,"Milos Raonic",R,196,1.0,13.6022408963585,2.89075630252101,71.5490196078431,44.672268907563,36.2885154061625,14.6106442577031,11.6442577030812,2.53221288515406,3.65266106442577
SF,106432,Hard,Indoor,17.9301848049,124,447,"Borna Coric",R,"",3.66666666666667,5.44954128440367,2.14678899082569,75.5596330275229,45.7155963302752,32.9908256880734,15.9174311926606,10.5137614678899,3.54128440366972,5.87155963302752
R32,103722,Hard,"",33.5441478439,450,88,"Florent Serra",R,180,5.33333333333333,3.78082191780822,2.04109589041096,81.8801369863014,50.1643835616438,33.7979452054795,15.8595890410959,12.3082191780822,4.71575342465753,7.86986301369863
R16,104735,Hard,"",28.3203285421,97,600,"Tobias Kamke",R,180,3.0,2.05594405594406,3.3986013986014,77.2237762237762,45.7272727272727,29.993006993007,15.5524475524476,11.6713286713287,4.51048951048951,7.83916083916084
QF,104542,Hard,"",29.4127310062,11,3170,"Jo Wilfried Tsonga",R,188,1.0,9.17164179104478,2.20708955223881,76.089552238806,47.4776119402985,36.6716417910448,15.1380597014925,12.2070895522388,3.29291044776119,4.92350746268657
SF,105526,Hard,"",24.3915126626,61,773,"Jan Lennard Struff",R,"",3.33333333333333,6.86046511627907,4.09302325581395,80.0232558139535,44.6511627906977,33.1744186046512,17.3488372093023,11.3255813953488,3.75581395348837,6.54651162790698
F,105311,Hard,"",25.4620123203,39,1032,"Joao Sousa",R,"",3.66666666666667,2.83419689119171,2.03108808290155,70.7098445595855,42.9740932642487,29.5440414507772,13.440414507772,10.4145077720207,3.92746113989637,6.82901554404145
R128,104944,Hard,Outdoor,27.2114989733,238,206,"Niels Desein",R,"",8.33333333333333,2.0,1.0,94.0,63.0,34.0,18.0,14.0,3.0,8.0
R64,105311,Hard,Outdoor,25.4045174538,38,1077,"Joao Sousa",R,"",3.66666666666667,2.79787234042553,2.06382978723404,70.3723404255319,42.6702127659574,29.313829787234,13.4414893617021,10.3723404255319,3.82978723404255,6.72872340425532
R64,103781,Hard,Outdoor,33.2402464066,68,770,"Jurgen Melzer",L,183,2.0,5.04573170731707,2.6280487804878,73.9588414634146,45.3719512195122,31.7484756097561,14.4801829268293,11.4557926829268,3.86890243902439,6.40701219512195
R32,104919,Hard,Outdoor,27.2607802875,26,1354,"Leonardo Mayer",R,188,2.0,5.97489539748954,3.29707112970711,75.8242677824268,45.9539748953975,33.6945606694561,15.7364016736402,11.6694560669456,3.63598326359833,5.89539748953975
R16,103813,Hard,Outdoor,33.0704996578,54,838,"Jarkko Nieminen",L,185,2.0,2.86344827586207,1.95448275862069,73.0,47.7958620689655,32.3020689655172,12.7034482758621,11.2413793103448,4.0551724137931,6.72275862068966
R32,103997,Hard,Outdoor,31.7782340862,83,651,"Lukasz Kubot",R,190,2.0,4.05909090909091,3.94090909090909,71.3090909090909,44.4272727272727,30.4272727272727,12.6909090909091,10.9909090909091,3.91818181818182,6.82272727272727
R16,104620,Clay,Outdoor,29.5496235455,52,896,"Simone Bolelli",R,183,2.0,3.88709677419355,1.33467741935484,72.3306451612903,47.633064516129,32.9677419354839,13.1129032258065,11.1532258064516,3.54838709677419,5.91935483870968
R16,104547,Clay,Outdoor,30.2477754962,146,360,"Horacio Zeballos",L,188,4.0,5.77439024390244,2.47560975609756,79.7926829268293,49.2378048780488,34.7926829268293,15.5548780487805,11.5609756097561,4.28048780487805,6.84756097560976
