name,128,64,32,16,8,4,2,1,reached
Benoit Paire,1.0000,0.5089,0.2162,0.0777,0.0229,0.0047,0.0007,0.0001,64
Lorenzo Sonego,1.0000,0.4701,0.1837,0.0535,0.0113,0.0031,0.0007,0.0001,absent
Yannick Maden,1.0000,0.4368,0.1562,0.0458,0.0103,0.0020,0.0007,0.0001,absent
Ricardas Berankis,1.0000,0.4265,0.1479,0.0400,0.0084,0.0021,0.0006,0.0001,128
Tennys Sandgren,1.0000,0.4549,0.1708,0.0519,0.0129,0.0033,0.0005,0.0001,128
Marcos Baghdatis,1.0000,0.4793,0.2005,0.0618,0.0153,0.0033,0.0004,0.0001,128
Yannick Hanfmann,1.0000,0.4533,0.1715,0.0451,0.0112,0.0031,0.0004,0.0001,absent
Ivo Karlovic,1.0000,0.4625,0.1760,0.0516,0.0116,0.0019,0.0004,0.0001,128
Marco Cecchinato,1.0000,0.4116,0.1401,0.0363,0.0075,0.0016,0.0003,0.0001,4
Cameron Norrie,1.0000,0.4456,0.1602,0.0412,0.0086,0.0014,0.0003,0.0001,64
Joao Sousa,1.0000,0.4497,0.1705,0.0444,0.0091,0.0019,0.0002,0.0001,128
Jared Donaldson,1.0000,0.5210,0.2388,0.0902,0.0253,0.0058,0.0013,0.0000,64
Kuan Yi Lee,1.0000,0.4419,0.1681,0.0462,0.0144,0.0031,0.0013,0.0000,absent
Yasutaka Uchiyama,1.0000,0.4941,0.1973,0.0605,0.0159,0.0027,0.0009,0.0000,absent
Tomislav Brkic,1.0000,0.4954,0.2015,0.0646,0.0154,0.0062,0.0008,0.0000,absent
Alexey Vatutin,1.0000,0.4576,0.1807,0.0552,0.0172,0.0045,0.0007,0.0000,absent
Ilya Ivashka,1.0000,0.4776,0.1920,0.0632,0.0162,0.0033,0.0007,0.0000,128
Viktor Troicki,1.0000,0.4700,0.1889,0.0571,0.0138,0.0028,0.0006,0.0000,absent
Tommy Robredo,1.0000,0.4188,0.1456,0.0406,0.0100,0.0019,0.0006,0.0000,absent
Viktor Galovic,1.0000,0.3641,0.1088,0.0218,0.0041,0.0018,0.0006,0.0000,absent
Nicola Kuhn,1.0000,0.3575,0.1050,0.0206,0.0031,0.0013,0.0006,0.0000,absent
Bjorn Fratangelo,1.0000,0.4228,0.1475,0.0401,0.0100,0.0027,0.0005,0.0000,absent
Laslo Djere,1.0000,0.4691,0.1800,0.0520,0.0131,0.0026,0.0005,0.0000,128
Jozef Kovalik,1.0000,0.3927,0.1300,0.0359,0.0064,0.0018,0.0005,0.0000,128
Thanasi Kokkinakis,1.0000,0.4162,0.1362,0.0357,0.0076,0.0010,0.0005,0.0000,absent
Tommy Paul,1.0000,0.4029,0.1419,0.0324,0.0057,0.0010,0.0005,0.0000,absent
Marius Copil,1.0000,0.4659,0.1849,0.0550,0.0138,0.0028,0.0004,0.0000,128
Denis Istomin,1.0000,0.4553,0.1746,0.0461,0.0104,0.0024,0.0004,0.0000,128
Guillermo Garcia Lopez,1.0000,0.4446,0.1488,0.0410,0.0098,0.0021,0.0004,0.0000,64
Christian Garin,1.0000,0.4496,0.1678,0.0489,0.0130,0.0015,0.0004,0.0000,absent
Gerald Melzer,1.0000,0.4094,0.1344,0.0309,0.0057,0.0012,0.0004,0.0000,absent
Henri Laaksonen,1.0000,0.4525,0.1817,0.0421,0.0104,0.0008,0.0004,0.0000,absent
Carlos Berlocq,1.0000,0.3678,0.1078,0.0211,0.0033,0.0004,0.0004,0.0000,absent
Guido Pella,1.0000,0.4797,0.2040,0.0652,0.0179,0.0038,0.0003,0.0000,64
Dusan Lajovic,1.0000,0.4817,0.1914,0.0607,0.0152,0.0032,0.0003,0.0000,64
Mirza Basic,1.0000,0.4658,0.1887,0.0548,0.0125,0.0027,0.0003,0.0000,128
Gastao Elias,1.0000,0.4021,0.1373,0.0349,0.0079,0.0016,0.0002,0.0000,absent
Vasek Pospisil,1.0000,0.4238,0.1542,0.0406,0.0087,0.0013,0.0002,0.0000,128
Thiago Monteiro,1.0000,0.4031,0.1400,0.0343,0.0064,0.0012,0.0002,0.0000,absent
Ramkumar Ramanathan,1.0000,0.4286,0.1473,0.0376,0.0086,0.0011,0.0002,0.0000,absent
Simone Bolelli,1.0000,0.4060,0.1376,0.0296,0.0064,0.0010,0.0002,0.0000,128
Denis Kudla,1.0000,0.3823,0.1154,0.0281,0.0059,0.0009,0.0002,0.0000,128
Paolo Lorenzi,1.0000,0.3853,0.1218,0.0268,0.0050,0.0009,0.0002,0.0000,128
Mikhail Kukushkin,1.0000,0.4007,0.1285,0.0292,0.0055,0.0007,0.0002,0.0000,128
Tim Smyczek,1.0000,0.3374,0.0907,0.0178,0.0030,0.0003,0.0002,0.0000,absent
Julien Benneteau,1.0000,0.4288,0.1586,0.0433,0.0085,0.0019,0.0001,0.0000,64
Jordan Thompson,1.0000,0.4186,0.1481,0.0391,0.0091,0.0016,0.0001,0.0000,128
Yuichi Sugita,1.0000,0.4212,0.1490,0.0462,0.0096,0.0015,0.0001,0.0000,128
Evgeny Donskoy,1.0000,0.3509,0.1025,0.0210,0.0042,0.0007,0.0001,0.0000,128
Elias Ymer,1.0000,0.3698,0.1116,0.0222,0.0044,0.0002,0.0001,0.0000,64
Nikola Milojevic,1.0000,0.4300,0.1477,0.0346,0.0108,0.0031,0.0000,0.0000,absent
Stefano Napolitano,1.0000,0.3978,0.1333,0.0278,0.0056,0.0022,0.0000,0.0000,absent
Ryan Harrison,1.0000,0.4507,0.1764,0.0414,0.0100,0.0021,0.0000,0.0000,128
Martin Klizan,1.0000,0.4236,0.1468,0.0373,0.0086,0.0018,0.0000,0.0000,64
Alexander Bublik,1.0000,0.4358,0.1596,0.0483,0.0075,0.0017,0.0000,0.0000,absent
