ht,age,rank,rank_points,common_ratio,common_ace,common_df,common_1st_in,common_1st_win,common_2nd_win,common_serve_win,common_break_saved,common_break_lost,common_return_1st_win,common_return_2nd_win,common_ace_faced,common_break_win,common_points_win,avg_ratio,avg_ace,avg_df,avg_1st_in,avg_1st_win,avg_2nd_win,avg_serve_win,avg_break_saved,avg_break_lost,avg_return_1st_win,avg_return_2nd_win,avg_ace_faced,avg_break_win,avg_points_win,common_completeness,common_serve1_adv,common_serve2_adv,avg_completeness,avg_serve1_adv,avg_serve2_adv,outcome,name_1,name_2,date,level,B365_1,B365_2,EX_1,EX_2,LB_1,LB_2,PS_1,PS_2,Max_1,Max_2,Avg_1,Avg_2
,-9.16632444,-374,1124,0.172908647,0.018070792,-0.023434723,0.02610246,0.032191381,0.056356388,0.048714494,0.030661512,-0.073750788,0.01548958,0.02775005,-0.033319207,0.001690892,0.028424265,0.172908647,0.018070792,-0.023434723,0.02610246,0.032191381,0.056356388,0.048714494,0.030661512,-0.073750788,0.01548958,0.02775005,-0.033319207,0.001690892,0.028424265,0.063663729,0.047680961,0.084106438,0.063663729,0.047680961,0.084106438,1,Karen Khachanov,Andreas Haider Maurer,28/05/2018,G,1.06,11,1.05,8.2,1.05,10,1.04,15.92,1.07,15.92,1.04,11.48
,2.72142368,-16,22,-0.128351577,-0.071406528,0.025797174,-0.070565874,-0.073780219,-0.011714373,-0.063022595,-0.050254158,0.265201898,0.047760391,0.043428994,-0.065046805,0.010264502,-0.00672707,-0.128351577,-0.071406528,0.025797174,-0.070565874,-0.073780219,-0.011714373,-0.063022595,-0.050254158,0.265201898,0.047760391,0.043428994,-0.065046805,0.010264502,-0.00672707,0.006990749,-0.026019828,0.031714621,0.006990749,-0.026019828,0.031714621,1,Marco Trungelliti,Bernard Tomic,28/05/2018,G,2.1,1.72,2.08,1.67,2.1,1.73,2.34,1.68,2.34,1.75,2.13,1.71
,-6.10540726,42,-493,-0.089107517,-0.050597793,-0.000715464,0.09293445,-0.093719936,-0.038750925,-0.049629714,0.025541397,0.051930789,0.045700706,-0.015281076,-0.062928034,0.000827775,-0.013275371,-0.089107517,-0.050597793,-0.000715464,0.09293445,-0.093719936,-0.038750925,-0.049629714,0.025541397,0.051930789,0.045700706,-0.015281076,-0.062928034,0.000827775,-0.013275371,-0.02109584,-0.04801923,-0.054032002,-0.02109584,-0.04801923,-0.054032002,1,Cameron Norrie,Peter Gojowczyk,28/05/2018,G,2.5,1.53,2.4,1.51,2.37,1.57,2.6,1.56,2.6,1.58,2.49,1.54
,3.02806297,-20,174,-0.021828815,-0.035138151,-0.027854362,0.022993629,-0.021082703,0.027971809,0.000115753,0.002480658,-0.004720365,-0.001470503,-0.002980086,-0.014337719,-0.001566091,-0.000672502,-0.021828815,-0.035138151,-0.027854362,0.022993629,-0.021082703,0.027971809,0.000115753,0.002480658,-0.004720365,-0.001470503,-0.002980086,-0.014337719,-0.001566091,-0.000672502,-0.002750954,-0.022553206,0.024991723,-0.002750954,-0.022553206,0.024991723,1,Dusan Lajovic,Jiri Vesely,28/05/2018,G,1.44,2.75,1.42,2.65,1.44,2.75,1.48,2.86,1.48,2.94,1.45,2.77
-5,-1.60164271,-87,1518,0.168741357,-0.045069613,0.00335501,0.005213913,-0.019781614,0.032074175,-0.001009433,0.004581871,0.003512204,0.036135559,0.04603544,0.017033387,0.01076818,0.019307652,0.17730743,-0.044933626,0.003100579,0.004819374,-0.019231051,0.033216314,-0.000294117,0.005580987,0.001562207,0.036530605,0.046708479,0.017130956,0.010965841,0.019899563,0.051777852,0.016353945,0.078109615,0.053021381,0.017299554,0.079924793,1,Roberto Bautista Agut,Denis Istomin,28/05/2018,G,1.08,9,1.07,6.8,1.08,7.5,1.09,9.01,1.1,9.6,1.08,8.35
,-15.09103353,114,-834,-0.444970709,-0.008558457,-0.01321211,0.023105176,-0.08999961,-0.067476043,-0.07805828,-0.078846019,0.134750933,-0.086647311,0.012615507,0.029624681,-0.015566725,-0.067367553,-0.444970709,-0.008558457,-0.01321211,0.023105176,-0.08999961,-0.067476043,-0.07805828,-0.078846019,0.134750933,-0.086647311,0.012615507,0.029624681,-0.015566725,-0.067367553,-0.109395689,-0.176646921,-0.054860536,-0.109395689,-0.176646921,-0.054860536,1,Jaume Munar,David Ferrer,28/05/2018,G,2.75,1.44,2.65,1.42,2.75,1.44,2.8,1.5,2.9,1.5,2.77,1.44
10,-3.29637235,-112,1244,0.49379805,0.018932407,-0.01707185,0.049806487,0.056291385,0.067383086,0.069240933,0.076581874,-0.167130466,0.034218632,0.083282808,-0.008392869,0.017608888,0.061195378,0.494902125,0.018977892,-0.016975515,0.049752075,0.056825109,0.067554555,0.069626937,0.07624235,-0.167936215,0.034840695,0.08338536,-0.008483958,0.017702659,0.06154272,0.1332456,0.090510017,0.150665893,0.134000301,0.091665804,0.150939915,1,Novak Djokovic,Rogerio Dutra Silva,28/05/2018,G,1.06,11,1.05,8,1.05,10,1.06,12.02,1.07,12.5,1.05,10.45
,-13.08145106,16,-420,-0.06658309,0.003217032,0.00511425,0.014469506,-0.007529934,-0.010402277,-0.006100767,0.005443697,0.014181394,-0.019767811,-0.001203125,0.007909103,-0.003760458,-0.007860352,-0.067371765,0.002716165,0.00490271,0.013549779,-0.010046707,-0.008319502,-0.007033982,0.004389577,0.01511369,-0.021764317,-0.000195471,0.008414514,-0.003960454,-0.008575127,-0.0184494,-0.027297745,-0.011605401,-0.019819474,-0.031811024,-0.008514972,1,Borna Coric,Philipp Kohlschreiber,28/05/2018,G,1.72,2.1,1.65,2.1,1.67,2.2,1.69,2.3,1.74,2.3,1.68,2.19
,0.47638604,-111,2893,0.257669558,-0.000927961,-0.002120663,-0.005643975,0.048536511,0.080379569,0.060059594,0.118579813,-0.123730354,-0.045199299,0.001072827,0.018851844,-0.009783862,0.013303833,0.296253022,-0.000596934,0.000122194,-0.008344481,0.046443367,0.082707819,0.059074936,0.113917146,-0.115390777,-0.041985459,0.017126671,0.013266025,-0.007518077,0.016017275,0.022858869,0.003337212,0.081452395,0.033501522,0.004457909,0.09983449,1,Dominic Thiem,Ilya Ivashka,28/05/2018,G,1.07,10,1.06,7.4,1.06,9,1.05,13.9,1.08,14.5,1.05,11.12
5,-2.44490075,231,-530,-0.063396486,-0.045324345,-0.020396274,0.103921733,-0.055335007,-0.01592958,-0.017010876,-0.008674568,0.029012142,-0.004982068,-0.005674969,0.013036646,0.000941579,-0.008004603,-0.066398356,-0.045319335,-0.020413931,0.103502954,-0.055198385,-0.016419368,-0.017219964,-0.007961399,0.029240524,-0.005008961,-0.006199136,0.013145303,0.000913473,-0.008151361,-0.019957646,-0.060317075,-0.021604549,-0.020467237,-0.060207346,-0.022618504,1,Santiago Giraldo,Marcos Baghdatis,28/05/2018,G,1.44,2.75,1.44,2.6,1.44,2.75,1.43,3.05,1.51,3.05,1.45,2.77
