date,round,surface,court,draw_size,level,age_1,atp_ranking_1,atp_points_1,hand_1,height_1,ratio_avg_1,ratio_prev_1,ratio_common_1,ace_avg_1,df_avg_1,svpt_avg_1,first_in_avg_1,first_won_avg_1,second_won_avg_1,sv_gms_avg_1,bp_saved_avg_1,bp_faced_avg_1,ace_prev_1,df_prev_1,svpt_prev_1,first_in_prev_1,first_won_prev_1,second_won_prev_1,sv_gms_prev_1,bp_saved_prev_1,bp_faced_prev_1,ace_common_1,df_common_1,svpt_common_1,first_in_common_1,first_won_common_1,second_won_common_1,sv_gms_common_1,bp_saved_common_1,bp_faced_common_1,age_2,atp_ranking_2,atp_points_2,hand_2,height_2,ratio_avg_2,ratio_prev_2,ratio_common_2,ace_avg_2,df_avg_2,svpt_avg_2,first_in_avg_2,first_won_avg_2,second_won_avg_2,sv_gms_avg_2,bp_saved_avg_2,bp_faced_avg_2,ace_prev_2,df_prev_2,svpt_prev_2,first_in_prev_2,first_won_prev_2,second_won_prev_2,sv_gms_prev_2,bp_saved_prev_2,bp_faced_prev_2,ace_common_2,df_common_2,svpt_common_2,first_in_common_2,first_won_common_2,second_won_common_2,sv_gms_common_2,bp_saved_common_2,bp_faced_common_2,odd_avg_1,odd_avg_2,odd_max_1,odd_max_2
2004/10/12,R32,Hard,Indoor,32,International,26.81724846,117.0,373.0,R,173,0.574585635359116,0.0,0.3333333333333333,4.928994082840236,2.8816568047337277,82.11834319526628,47.43195266272189,33.36094674556213,17.727810650887573,12.727810650887575,4.4674556213017755,7.402366863905326,,,,,,,,,,4.666666666666667,3.0,97.33333333333333,66.33333333333333,45.333333333333336,18.666666666666668,16.333333333333332,4.333333333333333,7.666666666666667,21.4264202601,69.0,566.0,L,193,0.0,0.0,1.0,5.333333333333333,3.8333333333333335,78.5,44.5,31.5,16.0,12.5,3.1666666666666665,7.0,,,,,,,,,,7.0,4.0,94.0,55.0,41.0,22.0,16.0,0.0,2.0,1.8,2.15,1.7166666666666668,2.0530000000000004
2004/10/12,R32,Hard,Indoor,32,International,22.8090349076,71.0,543.0,R,185,0.26666666666666666,0.0,0.14285714285714285,2.8666666666666667,2.8666666666666667,68.33333333333333,41.53333333333333,25.8,11.666666666666666,10.533333333333333,4.8,9.0,,,,,,,,,,2.857142857142857,3.142857142857143,67.28571428571429,42.285714285714285,27.285714285714285,11.0,10.428571428571429,4.714285714285714,8.571428571428571,27.356605065,76.0,525.0,R,190,0.0,0.0,0.46153846153846156,10.660377358490566,3.2264150943396226,77.71698113207547,43.15723270440252,32.685534591194966,17.09433962264151,11.968553459119496,4.339622641509434,6.59748427672956,,,,,,,,,,10.692307692307692,2.6153846153846154,76.0,39.23076923076923,30.076923076923077,17.846153846153847,11.692307692307692,4.076923076923077,6.615384615384615,1.615,2.45,1.5616666666666668,2.3333333333333335
2004/10/12,R32,Hard,Indoor,32,International,30.5023956194,86.0,466.0,R,180,0.5789473684210527,1.0,0.5853658536585366,4.506944444444445,3.2152777777777777,81.26388888888889,43.77777777777778,30.78472222222222,19.65972222222222,12.659722222222221,4.430555555555555,7.402777777777778,12.0,4.0,100.0,51.0,36.0,24.0,15.0,6.0,10.0,,,,,,,,,,23.7289527721,68.0,570.0,R,168,0.0,0.0,0.43902439024390244,1.7916666666666667,2.75,79.40833333333333,47.34166666666667,30.775,16.041666666666668,12.241666666666667,4.35,8.008333333333333,1.0,1.0,121.0,80.0,48.0,15.0,14.0,14.0,20.0,,,,,,,,,,2.6,1.55,2.4416666666666664,1.521
2004/10/12,R32,Carpet,Indoor,32,International,25.8726899384,70.0,545.0,R,185,0.5113636363636364,0.0,0.45454545454545453,7.069767441860465,2.953488372093023,77.95348837209302,47.02325581395349,34.325581395348834,15.104651162790697,12.081395348837209,3.604651162790698,6.1395348837209305,,,,,,,,,,,,,,,,,,,23.3401779603,64.0,598.0,L,188,0.0,0.0,0.20689655172413793,5.03125,5.71875,76.5,46.0,30.78125,13.484375,11.609375,5.0,8.796875,,,,,,,,,,5.344827586206897,5.9655172413793105,74.58620689655173,43.6551724137931,29.17241379310345,13.586206896551724,11.068965517241379,5.586206896551724,9.448275862068966,2.0,2.0,2.0,2.0
2004/10/12,R32,Carpet,Indoor,32,International,23.3593429158,43.0,810.0,R,178,0.3951612903225806,0.0,0.0,3.033613445378151,2.411764705882353,76.00840336134453,48.983193277310924,31.571428571428573,13.336134453781513,11.61344537815126,4.705882352941177,8.126050420168067,,,,,,,,,,,,,,,,,,,18.7624914442,521.0,38.0,R,193,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0
2004/10/12,R32,Carpet,Indoor,32,International,31.485284052,88.0,458.0,L,190,0.5212765957446809,0.0,0.4358974358974359,8.698795180722891,3.3493975903614457,83.12048192771084,49.28915662650602,36.65060240963855,17.0,12.819277108433734,4.433734939759036,6.843373493975903,,,,,,,,,,,,,,,,,,,23.6687200548,241.0,154.0,R,188,0.0,0.0,0.34285714285714286,5.985074626865671,3.343283582089552,76.68656716417911,46.701492537313435,32.8955223880597,15.492537313432836,12.08955223880597,3.970149253731343,6.567164179104478,,,,,,,,,,5.628571428571429,3.3142857142857145,77.37142857142857,46.714285714285715,32.34285714285714,15.857142857142858,12.2,4.085714285714285,6.9714285714285715,1.95,1.909,1.87,1.8696666666666666
2004/10/12,R32,Carpet,Indoor,32,International,22.2970568104,33.0,960.0,R,183,0.5225806451612903,0.0,0.5348837209302325,2.993150684931507,2.6232876712328768,80.84246575342466,49.26712328767123,33.14383561643836,15.746575342465754,12.246575342465754,4.678082191780822,7.842465753424658,,,,,,,,,,,,,,,,,,,33.9274469541,142.0,298.0,R,201,0.0,0.0,0.14705882352941177,10.928571428571429,7.428571428571429,78.01428571428572,44.05714285714286,34.15714285714286,15.5,12.071428571428571,4.2,6.6,,,,,,,,,,10.882352941176471,8.617647058823529,78.88235294117646,42.76470588235294,32.411764705882355,15.588235294117647,12.147058823529411,4.470588235294118,7.470588235294118,1.35,3.1,1.3376666666666666,3.1
2004/10/12,R32,Carpet,Indoor,32,International,22.5242984257,54.0,707.0,R,180,0.2978723404255319,0.0,0.2727272727272727,7.325,5.025,85.75,44.75,32.4,18.625,13.075,5.15,9.025,,,,,,,,,,,,,,,,,,,28.643394935,127.0,339.0,R,188,0.0,0.0,0.1111111111111111,6.38,2.84,73.4,37.8,26.78,16.88,11.38,3.82,7.06,,,,,,,,,,6.555555555555555,2.888888888888889,81.55555555555556,45.333333333333336,32.0,16.333333333333332,12.88888888888889,4.222222222222222,8.333333333333334,1.4,3.1,1.36,2.983333333333333
2004/10/12,R32,Carpet,Indoor,32,International,26.5133470226,168.0,239.0,R,180,0.41379310344827586,0.0,0.7,5.8311688311688314,4.0519480519480515,74.98701298701299,43.81818181818182,30.31168831168831,14.935064935064934,11.584415584415584,4.077922077922078,7.1688311688311686,12.0,8.0,95.0,45.0,29.0,21.0,15.0,3.0,9.0,8.3,4.7,75.2,45.3,34.4,13.8,12.2,4.0,6.2,26.6009582478,102.0,401.0,R,188,0.05555555555555555,1.0,0.6666666666666666,7.0625,3.625,76.5,46.1875,33.3125,14.75,12.1875,3.8125,6.4375,12.0,5.0,90.0,55.0,40.0,18.0,15.0,3.0,6.0,7.333333333333333,2.5,73.16666666666667,44.166666666666664,32.166666666666664,15.666666666666666,11.833333333333334,3.3333333333333335,5.5,1.727,2.45,1.5923333333333334,2.4000000000000004
2004/10/12,R32,Carpet,Indoor,32,International,26.7679671458,17.0,1393.0,R,183,0.5168539325842697,1.0,0.4166666666666667,5.06508875739645,4.106508875739645,78.70414201183432,45.349112426035504,32.071005917159766,16.54437869822485,12.171597633136095,4.366863905325443,7.337278106508876,6.0,3.0,72.0,41.5,32.0,17.5,12.0,2.0,3.0,,,,,,,,,,29.5523613963,44.0,808.0,R,180,0.0,0.0,0.6527777777777778,8.61344537815126,2.722689075630252,78.9327731092437,41.76470588235294,31.88235294117647,19.0,12.46218487394958,3.907563025210084,6.226890756302521,4.5,4.0,77.5,42.0,31.0,14.0,12.0,3.0,7.0,,,,,,,,,,1.87,1.9,1.8190000000000002,1.885
