name,128,64,32,16,8,4,2,1
Daniel Evans,100.0\%,45.22\%,16.85\%,4.62\%,0.77\%,0.08\%,0.01\%,0.01\%
Dusan Lajovic,100.0\%,62.870000000000005\%,37.97\%,20.330000000000002\%,5.94\%,1.25\%,0.19\%,0.0\%
Steve Johnson,100.0\%,50.480000000000004\%,21.27\%,6.74\%,1.51\%,0.35000000000000003\%,0.08\%,0.0\%
Mikael Torpegaard,100.0\%,41.83\%,13.5\%,2.33\%,0.58\%,0.25\%,0.08\%,0.0\%
Kamil Majchrzak,100.0\%,54.33\%,24.48\%,7.19\%,1.8499999999999999\%,0.52\%,0.06999999999999999\%,0.0\%
Jiri Vesely,100.0\%,50.81\%,22.16\%,6.67\%,1.5699999999999998\%,0.31\%,0.06\%,0.0\%
Pablo Cuevas,100.0\%,52.21\%,23.07\%,7.23\%,1.91\%,0.35000000000000003\%,0.04\%,0.0\%
Emilio Gomez,100.0\%,38.87\%,12.790000000000001\%,2.29\%,0.5\%,0.08\%,0.04\%,0.0\%
Jason Jung,100.0\%,34.04\%,8.84\%,1.68\%,0.24\%,0.04\%,0.04\%,0.0\%
Leonardo Mayer,100.0\%,51.24999999999999\%,21.8\%,6.710000000000001\%,1.51\%,0.29\%,0.03\%,0.0\%
Jeremy Chardy,100.0\%,51.09\%,21.7\%,7.33\%,1.66\%,0.25\%,0.03\%,0.0\%
Ernests Gulbis,100.0\%,50.27\%,20.94\%,5.89\%,1.29\%,0.21\%,0.03\%,0.0\%
John Millman,100.0\%,48.74\%,19.1\%,5.970000000000001\%,1.4200000000000002\%,0.2\%,0.03\%,0.0\%
Marius Copil,100.0\%,48.35\%,18.69\%,4.8500000000000005\%,0.9400000000000001\%,0.13\%,0.03\%,0.0\%
Aljaz Bedene,100.0\%,49.69\%,20.31\%,5.37\%,1.13\%,0.22999999999999998\%,0.02\%,0.0\%
Alexander Bublik,100.0\%,44.74\%,16.76\%,4.31\%,0.84\%,0.19\%,0.02\%,0.0\%
Joao Sousa,100.0\%,46.92\%,18.4\%,5.42\%,1.1400000000000001\%,0.18\%,0.02\%,0.0\%
Roberto Carballes Baena,100.0\%,47.0\%,18.22\%,4.859999999999999\%,0.9299999999999999\%,0.16\%,0.02\%,0.0\%
Lorenzo Sonego,100.0\%,45.49\%,16.509999999999998\%,4.1000000000000005\%,0.8\%,0.13\%,0.02\%,0.0\%
Thiago Monteiro,100.0\%,42.64\%,13.98\%,3.18\%,0.54\%,0.12\%,0.02\%,0.0\%
Ilya Ivashka,100.0\%,43.74\%,15.98\%,3.7600000000000002\%,0.62\%,0.09\%,0.02\%,0.0\%
Hubert Hurkacz,100.0\%,47.21\%,17.93\%,5.21\%,1.26\%,0.06999999999999999\%,0.02\%,0.0\%
Casper Ruud,100.0\%,52.0\%,22.1\%,6.510000000000001\%,1.6\%,0.26\%,0.01\%,0.0\%
Jan Lennard Struff,100.0\%,48.809999999999995\%,19.98\%,6.529999999999999\%,1.55\%,0.25\%,0.01\%,0.0\%
Martin Klizan,100.0\%,51.160000000000004\%,22.24\%,6.72\%,1.53\%,0.24\%,0.01\%,0.0\%
Lloyd George Muirhead Harris,100.0\%,46.339999999999996\%,17.09\%,4.37\%,0.97\%,0.15\%,0.01\%,0.0\%
Tennys Sandgren,100.0\%,41.03\%,13.51\%,3.1399999999999997\%,0.48\%,0.13\%,0.01\%,0.0\%
Mikhail Kukushkin,100.0\%,44.85\%,16.53\%,5.08\%,0.91\%,0.12\%,0.01\%,0.0\%
Denis Kudla,100.0\%,41.75\%,14.27\%,3.32\%,0.49\%,0.1\%,0.01\%,0.0\%
Mischa Zverev,100.0\%,43.29\%,14.74\%,3.5700000000000003\%,0.58\%,0.09\%,0.01\%,0.0\%
Denis Istomin,100.0\%,44.22\%,15.89\%,3.73\%,0.7000000000000001\%,0.08\%,0.01\%,0.0\%
Bradley Klahn,100.0\%,34.01\%,9.65\%,1.55\%,0.16999999999999998\%,0.03\%,0.01\%,0.0\%
Yasutaka Uchiyama,100.0\%,47.5\%,18.94\%,5.5\%,1.25\%,0.44\%,0.0\%,0.0\%
Bernabe Zapata Miralles,100.0\%,47.33\%,18.25\%,4.42\%,0.83\%,0.25\%,0.0\%,0.0\%
Mikael Ymer,100.0\%,49.2\%,21.6\%,5.800000000000001\%,1.5\%,0.2\%,0.0\%,0.0\%
Adrian Mannarino,100.0\%,45.58\%,16.650000000000002\%,4.33\%,0.9400000000000001\%,0.15\%,0.0\%,0.0\%
Yoshihito Nishioka,100.0\%,44.0\%,16.3\%,4.09\%,0.77\%,0.15\%,0.0\%,0.0\%
Tommy Paul,100.0\%,43.669999999999995\%,16.37\%,3.9600000000000004\%,0.74\%,0.15\%,0.0\%,0.0\%
Gianluigi Quinzi,100.0\%,44.65\%,16.46\%,4.0\%,0.58\%,0.15\%,0.0\%,0.0\%
Dominik Koepfer,100.0\%,27.87\%,5.94\%,0.88\%,0.25\%,0.13\%,0.0\%,0.0\%
Ivo Karlovic,100.0\%,44.72\%,16.12\%,4.31\%,0.8999999999999999\%,0.11\%,0.0\%,0.0\%
Dennis Novak,100.0\%,46.51\%,17.24\%,3.9600000000000004\%,0.8\%,0.11\%,0.0\%,0.0\%
David Ferrer,100.0\%,46.17\%,17.11\%,4.5600000000000005\%,0.67\%,0.11\%,0.0\%,0.0\%
Taro Daniel,100.0\%,44.97\%,15.989999999999998\%,3.5000000000000004\%,0.7000000000000001\%,0.1\%,0.0\%,0.0\%
Yannick Hanfmann,100.0\%,38.95\%,12.45\%,2.1999999999999997\%,0.4\%,0.1\%,0.0\%,0.0\%
Robin Haase,100.0\%,45.739999999999995\%,16.66\%,4.35\%,0.77\%,0.09\%,0.0\%,0.0\%
Marcos Baghdatis,100.0\%,42.61\%,16.04\%,4.17\%,0.65\%,0.09\%,0.0\%,0.0\%
Elias Ymer,100.0\%,38.32\%,11.709999999999999\%,2.17\%,0.36\%,0.09\%,0.0\%,0.0\%
Blaz Rola,100.0\%,35.0\%,9.09\%,2.09\%,0.36\%,0.09\%,0.0\%,0.0\%
Jack Sock,100.0\%,48.16\%,19.56\%,4.760000000000001\%,0.88\%,0.08\%,0.0\%,0.0\%
Pablo Andujar,100.0\%,40.589999999999996\%,13.33\%,2.9899999999999998\%,0.52\%,0.08\%,0.0\%,0.0\%
Lukas Lacko,100.0\%,35.42\%,9.84\%,1.68\%,0.22\%,0.08\%,0.0\%,0.0\%
Filip Krajinovic,100.0\%,47.57\%,18.42\%,4.74\%,0.8699999999999999\%,0.06999999999999999\%,0.0\%,0.0\%
Radu Albot,100.0\%,40.81\%,13.370000000000001\%,3.6799999999999997\%,0.53\%,0.06999999999999999\%,0.0\%,0.0\%
Dustin Brown,100.0\%,31.8\%,7.8\%,1.3299999999999998\%,0.47000000000000003\%,0.06999999999999999\%,0.0\%,0.0\%
Vasek Pospisil,100.0\%,39.56\%,10.72\%,2.56\%,0.33\%,0.06\%,0.0\%,0.0\%
Jurij Rodionov,100.0\%,38.06\%,10.81\%,1.5599999999999998\%,0.31\%,0.06\%,0.0\%,0.0\%
Matthias Bachinger,100.0\%,37.63\%,10.8\%,2.23\%,0.29\%,0.06\%,0.0\%,0.0\%
Constant Lestienne,100.0\%,34.239999999999995\%,10.059999999999999\%,2.0\%,0.29\%,0.06\%,0.0\%,0.0\%
Alexey Vatutin,100.0\%,40.12\%,12.76\%,2.88\%,0.24\%,0.06\%,0.0\%,0.0\%
Maximilian Marterer,100.0\%,44.37\%,15.310000000000002\%,3.6900000000000004\%,0.58\%,0.05\%,0.0\%,0.0\%
Feliciano Lopez,100.0\%,42.730000000000004\%,14.23\%,3.32\%,0.5599999999999999\%,0.05\%,0.0\%,0.0\%
Ryan Harrison,100.0\%,43.62\%,15.55\%,3.73\%,0.5499999999999999\%,0.05\%,0.0\%,0.0\%
Andrej Martin,100.0\%,43.55\%,15.9\%,3.6999999999999997\%,0.5499999999999999\%,0.05\%,0.0\%,0.0\%
Yannick Maden,100.0\%,42.76\%,13.900000000000002\%,3.05\%,0.49\%,0.05\%,0.0\%,0.0\%
Simone Bolelli,100.0\%,36.449999999999996\%,10.85\%,2.25\%,0.4\%,0.05\%,0.0\%,0.0\%
Lukas Rosol,100.0\%,37.8\%,11.15\%,2.1999999999999997\%,0.35000000000000003\%,0.05\%,0.0\%,0.0\%
