name,128,64,32,16,8,4,2,1
Joao Sousa,100.0\%,46.92\%,18.4\%,5.42\%,1.14\%,0.18\%,0.02\%,0.0\%
Roberto Carballes Baena,100.0\%,47.0\%,18.22\%,4.86\%,0.93\%,0.16\%,0.02\%,0.0\%
Lorenzo Sonego,100.0\%,45.49\%,16.51\%,4.1\%,0.8\%,0.13\%,0.02\%,0.0\%
Thiago Monteiro,100.0\%,42.64\%,13.98\%,3.18\%,0.54\%,0.12\%,0.02\%,0.0\%
Ilya Ivashka,100.0\%,43.74\%,15.98\%,3.76\%,0.62\%,0.09\%,0.02\%,0.0\%
Hubert Hurkacz,100.0\%,47.21\%,17.93\%,5.21\%,1.26\%,0.07\%,0.02\%,0.0\%
Casper Ruud,100.0\%,52.0\%,22.1\%,6.51\%,1.6\%,0.26\%,0.01\%,0.0\%
Jan Lennard Struff,100.0\%,48.81\%,19.98\%,6.53\%,1.55\%,0.25\%,0.01\%,0.0\%
Martin Klizan,100.0\%,51.16\%,22.24\%,6.72\%,1.53\%,0.24\%,0.01\%,0.0\%
Lloyd George Muirhead Harris,100.0\%,46.34\%,17.09\%,4.37\%,0.97\%,0.15\%,0.01\%,0.0\%
Tennys Sandgren,100.0\%,41.03\%,13.51\%,3.14\%,0.48\%,0.13\%,0.01\%,0.0\%
Mikhail Kukushkin,100.0\%,44.85\%,16.53\%,5.08\%,0.91\%,0.12\%,0.01\%,0.0\%
Denis Kudla,100.0\%,41.75\%,14.27\%,3.32\%,0.49\%,0.1\%,0.01\%,0.0\%
Mischa Zverev,100.0\%,43.29\%,14.74\%,3.57\%,0.58\%,0.09\%,0.01\%,0.0\%
Denis Istomin,100.0\%,44.22\%,15.89\%,3.73\%,0.7\%,0.08\%,0.01\%,0.0\%
Bradley Klahn,100.0\%,34.01\%,9.65\%,1.55\%,0.17\%,0.03\%,0.01\%,0.0\%
Yasutaka Uchiyama,100.0\%,47.5\%,18.94\%,5.5\%,1.25\%,0.44\%,0.0\%,0.0\%
Bernabe Zapata Miralles,100.0\%,47.33\%,18.25\%,4.42\%,0.83\%,0.25\%,0.0\%,0.0\%
Mikael Ymer,100.0\%,49.2\%,21.6\%,5.8\%,1.5\%,0.2\%,0.0\%,0.0\%
Adrian Mannarino,100.0\%,45.58\%,16.65\%,4.33\%,0.94\%,0.15\%,0.0\%,0.0\%
Yoshihito Nishioka,100.0\%,44.0\%,16.3\%,4.09\%,0.77\%,0.15\%,0.0\%,0.0\%
Tommy Paul,100.0\%,43.67\%,16.37\%,3.96\%,0.74\%,0.15\%,0.0\%,0.0\%
Gianluigi Quinzi,100.0\%,44.65\%,16.46\%,4.0\%,0.58\%,0.15\%,0.0\%,0.0\%
Dominik Koepfer,100.0\%,27.87\%,5.94\%,0.88\%,0.25\%,0.13\%,0.0\%,0.0\%
Ivo Karlovic,100.0\%,44.72\%,16.12\%,4.31\%,0.9\%,0.11\%,0.0\%,0.0\%
Dennis Novak,100.0\%,46.51\%,17.24\%,3.96\%,0.8\%,0.11\%,0.0\%,0.0\%
David Ferrer,100.0\%,46.17\%,17.11\%,4.56\%,0.67\%,0.11\%,0.0\%,0.0\%
Taro Daniel,100.0\%,44.97\%,15.99\%,3.5\%,0.7\%,0.1\%,0.0\%,0.0\%
