2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 16,4,2,b'Stefanos Tsitsipas',te51,stefanos-tsitsipas,b'Richard Gasquet',g628,richard-gasquet,Q,5,63 64,2,0,12,7,0,0,2018-451-te51-g628,/en/scores/2018/451/MS009/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 16,4,3,b'Andrey Rublev',re44,andrey-rublev,b'Fernando Verdasco',v306,fernando-verdasco,,7,64 36 64,2,1,15,14,0,0,2018-451-re44-v306,/en/scores/2018/451/MS014/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 16,4,4,b'Mirza Basic',be67,mirza-basic,b'Feliciano Lopez',l397,feliciano-lopez,Q,8,64 76(2),2,0,13,10,1,0,2018-451-be67-l397,/en/scores/2018/451/MS012/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 16,4,5,b'Borna Coric',cg80,borna-coric,b'Nikoloz Basilashvili',bg23,nikoloz-basilashvili,,,61 63,2,0,12,4,0,0,2018-451-cg80-bg23,/en/scores/2018/451/MS015/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 16,4,6,b'Peter Gojowczyk',g967,peter-gojowczyk,b'Matteo Berrettini',bk40,matteo-berrettini,,Q,62 62,2,0,12,4,0,0,2018-451-g967-bk40,/en/scores/2018/451/MS011/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 16,4,7,b'Gael Monfils',mc65,gael-monfils,b'Jan-Lennard Struff',sl28,jan-lennard-struff,WC,,63 16 63,2,1,13,12,0,0,2018-451-mc65-sl28,/en/scores/2018/451/MS010/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 16,4,8,b'Guido Pella',pc11,guido-pella,b'Stefano Travaglia',ta12,stefano-travaglia,,Q,76(4) 63,2,0,13,9,1,0,2018-451-pc11-ta12,/en/scores/2018/451/MS013/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,1,b'Dominic Thiem',tb69,dominic-thiem,b'Evgeny Donskoy',d864,evgeny-donskoy,1,,76(3) 63,2,0,13,9,1,0,2018-451-tb69-d864,/en/scores/2018/451/MS016/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,2,b'Borna Coric',cg80,borna-coric,b'Pablo Carreno Busta',cd85,pablo-carreno-busta,,2,57 62 76(8),2,1,18,15,1,0,2018-451-cg80-cd85,/en/scores/2018/451/MS031/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,3,b'Jan-Lennard Struff',sl28,jan-lennard-struff,b'Tomas Berdych',ba47,tomas-berdych,,3,64 16 76(4),2,1,14,16,1,0,2018-451-sl28-ba47,/en/scores/2018/451/MS020/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,4,b'Guido Pella',pc11,guido-pella,b'Albert Ramos-Vinolas',r772,albert-ramos-vinolas,,4,26 75 75,2,1,16,16,0,0,2018-451-pc11-r772,/en/scores/2018/451/MS027/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,5,b'Richard Gasquet',g628,richard-gasquet,b'Victor Estrella Burgos',e224,victor-estrella-burgos,5,AL,60 62,2,0,12,2,0,0,2018-451-g628-e224,/en/scores/2018/451/MS019/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,6,b'Peter Gojowczyk',g967,peter-gojowczyk,b'Filip Krajinovic',kb05,filip-krajinovic,,6,64 61,2,0,12,5,0,0,2018-451-g967-kb05,/en/scores/2018/451/MS023/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,7,b'Fernando Verdasco',v306,fernando-verdasco,b'Dudi Sela',sc56,dudi-sela,7,,46 64 60,2,1,16,10,0,0,2018-451-v306-sc56,/en/scores/2018/451/MS028/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,8,b'Feliciano Lopez',l397,feliciano-lopez,b'Guillermo Garcia-Lopez',g476,guillermo-garcia-lopez,8,,64 57 76(3),2,1,18,17,1,0,2018-451-l397-g476,/en/scores/2018/451/MS024/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,9,b'Mirza Basic',be67,mirza-basic,b'Andreas Haider-Maurer',h804,andreas-haider-maurer,Q,PR,64 63,2,0,12,7,0,0,2018-451-be67-h804,/en/scores/2018/451/MS025/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,10,b'Nikoloz Basilashvili',bg23,nikoloz-basilashvili,b'Thomas Fabbiano',f586,thomas-fabbiano,,,64 63,2,0,12,7,0,0,2018-451-bg23-f586,/en/scores/2018/451/MS030/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,11,b'Aljaz Bedene',bh09,aljaz-bedene,b'Malek Jaziri',j267,malek-jaziri,,WC,75 61,2,0,13,6,0,0,2018-451-bh09-j267,/en/scores/2018/451/MS017/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,12,b'Matteo Berrettini',bk40,matteo-berrettini,b'Viktor Troicki',t840,viktor-troicki,Q,,46 76(5) 64,2,1,17,16,1,0,2018-451-bk40-t840,/en/scores/2018/451/MS022/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,13,b'Gael Monfils',mc65,gael-monfils,b'Paolo Lorenzi',l503,paolo-lorenzi,WC,,63 36 64,2,1,15,13,0,0,2018-451-mc65-l503,/en/scores/2018/451/MS021/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 32,5,14,b'Andrey Rublev',re44,andrey-rublev,b'Cedrik-Marcel Stebe',sk94,cedrik-marcel-stebe,,,61 (RET),1,0,6,1,0,0,2018-451-re44-sk94,/en/scores/2018/451/MS029/match-stats?isLive=False
