361,119,Dayne Kelly,28,2,up
362,119,Marc-Andrea Huesler,22,3,up
363,119,Hugo Grenier,22,3,up
364,118,Juan Ignacio Galarza,24,2,down
365,117,Dragos Dima,26,13,up
366,117,Emilio Gomez,26,3,up
367,116,Pavel Kotov,19,8,down
368,116,Cheong-Eui Kim,28,2,up
369,116,Yusuke Takahashi,20,2,up
370,116,Jeroen Vanneste,24,12,up
371,115,Julien Cagnina,24,32,down
372,115,Alejandro Davidovich Fokina,19,,
373,114,Pol Toledo Bague,23,,
374,114,Ivan Gakhov,21,33,down
375,113,Karue Sell,24,1,down
376,113,Makoto Ochi,22,62,up
377,111,Nicola Kuhn,18,19,down
378,110,Andy Murray,31,3,down
379,110,Thai-Son Kwiatkowski,23,3,down
380,110,Sasi Kumar Mukund,21,3,down
381,108,Ji Sung Nam,25,163,up
382,108,Zsombor Piros,18,3,down
383,107,Gonzalo Escobar,29,3,down
384,105,Marc Giner,27,1,down
385,104,Franko Skugor,30,1,down
386,103,Joris De Loore,25,49,down
387,103,Peter Torebko,30,1,down
388,103,Antoine Escoffier,26,,
389,102,Joao Souza,30,26,up
390,102,Markus Eriksson,28,1,down
391,101,Aslan Karatsev,24,1,down
392,101,Tommy Paul,21,74,down
393,101,Youssef Hossam,20,1,down
394,101,Jordi Samper-Montana,28,1,down
395,100,Sebastian Fanselow,26,,
396,100,Javier Marti,26,,
397,100,Karim-Mohamed Maamoun,27,41,down
398,100,Peter Heller,26,1,down
399,99,Alexandre Muller,21,12,up
400,99,Alexander Zhurbin,26,49,up
401,99,Zizou Bergs,19,22,up
402,99,Viktor Durasovic,21,4,down
403,99,Evan Song,26,4,down
404,99,Pablo Vivero Gonzalez,23,4,down
405,98,Inigo Cervantes,28,20,down
406,98,Camilo Ugo Carabelli,19,5,down
407,98,Hiroyasu Ehara,27,5,down
408,97,Federico Coria,26,17,down
409,97,Altug Celikbilek,21,6,down
410,97,Fred Gil,33,9,up
411,96,Orlando Luz,20,7,down
412,96,Juan Pablo Ficovich,21,18,up
413,96,Oscar Jose Gutierrez,25,8,down
414,94,Daniel Dutra da Silva,30,8,down
415,94,Jan Satral,28,7,down
416,94,Yuta Shimizu,19,28,up
417,94,Edan Leshem,21,8,down
418,94,Eduard Esteve Lobato,23,8,down
419,93,Sergey Betov,30,13,up
420,93,Evgenii Tiurnev,21,,
421,93,Baptiste Crepatte,23,9,down
422,93,Moez Echargui,25,9,down
423,92,Aleksandar Vukic,22,9,down
424,92,Blake Ellis,19,12,up
425,92,Tom Jomby,27,8,down
426,91,Sekou Bangoura,26,5,down
427,90,Jules Okala,21,5,down
428,90,Jurabek Karimov,20,63,up
429,89,Lamine Ouahab,33,5,down
430,89,Elmar Ejupovic,25,23,down
431,89,Raul Brancaccio,21,5,down
432,88,Dmitry Popko,21,4,down
433,88,Mate Delic,25,2,down
434,88,Samuel Bensoussan,26,7,down
435,87,Takanyi Garanganga,27,19,down
436,87,Louis Wessels,19,3,down
437,86,Emil Ruusuvuori,19,3,down
438,86,Jared Hiltzik,24,1,down
439,86,Matias Franco Descotte,23,15,up
440,85,Niels Desein,31,,
441,85,Geoffrey Blancaneaux,20,,
442,85,Fabrizio Ornago,26,3,down
443,84,Lloyd Glasspool,24,,
444,84,Tobias Simon,27,2,down
445,83,James Duckworth,26,,
446,83,Robin Kern,24,,
447,83,Guillermo Olaso,30,,
448,83,Teymuraz Gabashvili,33,2,up
449,83,Benjamin Lock,25,25,up
450,83,Lucas Catarina,21,1,up
451,83,Javier Barranco Cosano,19,1,up
452,82,Wishaya Trongcharoenchaikul,23,4,down
453,82,Marc Sieber,30,24,down
454,82,Austin Krajicek,28,1,down
455,82,Bruno Santanna,25,37,down
456,81,Manuel Guinard,22,1,down
457,80,Maxime Authom,31,1,down
458,80,Marvin Netuschil,27,1,down
459,80,Thomas Statzberger,25,1,down
460,79,Rigele Te,20,1,down
461,79,Dzmitry Zhyrmont,29,1,down
462,79,Alexandar Lazov,28,1,down
463,78,Daniel Altmaier,19,,
464,78,Patrik Rikl,19,,
465,78,Vladyslav Manafov,25,,
466,78,David Poljak,22,4,down
467,77,Sadio Doumbia,27,,
468,77,Pawel Cias,24,13,up
469,77,Lenny Hampel,21,1,down
470,77,Gijs Brouwer,22,,
471,77,Alessandro Petrone,27,44,up
472,77,Rio Noguchi,19,11,up
473,76,Petros Chrysochos,22,2,up
474,76,Riccardo Bellotti,27,2,up
475,76,Zihao Xia,21,23,up
476,76,Luke Saville,24,1,up
477,76,Nicolaas Scholtz,27,1,up
478,76,Germain Gigounon,29,9,down
479,76,Riccardo Balzerani,19,7,down
480,75,Chun Hsin Tseng,17,1,down
481,75,Edward Corrie,30,15,down
482,75,Pedro Sakamoto,25,3,up
483,75,Tung-Lin Wu,20,1,down
484,75,Leny Mitjana,24,11,down
485,75,Ronnie Schneider,23,1,down
486,74,Ronald Slobodchikov,24,,
487,74,Mick Lescure,25,59,up
488,73,Alexander Ritschard,24,1,down
489,72,Jose Pereira,27,1,up
490,72,Matias Zukas,22,5,up
491,71,Julian Lenz,25,3,down
492,71,Thiago Seyboth Wild,18,5,up
493,71,Laurent Rochette,30,37,up
494,71,Tak Khunn Wang,26,,
495,71,Jonas Merckx,24,24,down
496,71,Rubin Statham,31,18,up
497,70,Borna Gojo,20,38,up
498,70,Alen Avidzba,18,2,down
499,69,Ryan Shane,24,6,up
500,69,Yaraslav Shyla,25,1,down
