8,2019-7434-mh16-g676,/en/scores/2019/7434/QS008/match-stats?isLive=False,01:19:56,79,6,1,30,60,22,30,14,30,3,6,36,60,17,40,19,27,6,14,10,9,36,67,72,127,3,7,40,67,23,40,8,27,8,14,31,67,8,30,16,30,3,6,9,10,24,60,55,127
8,2019-7434-li39-v495,/en/scores/2019/7434/QS006/match-stats?isLive=False,02:07:31,127,6,3,52,90,36,52,19,38,1,6,55,90,22,67,20,40,5,9,16,17,42,107,97,197,17,0,67,107,45,67,20,40,4,9,65,107,16,52,19,38,5,6,17,16,35,90,100,197
8,2019-7434-ta12-w503,/en/scores/2019/7434/QS010/match-stats?isLive=False,02:07:27,127,13,5,52,107,46,52,26,55,5,7,72,107,14,57,21,50,1,9,16,15,35,107,107,214,15,3,57,107,43,57,29,50,8,9,72,107,6,52,29,55,2,7,15,16,35,107,107,214
8,2019-7434-l797-li39,/en/scores/2019/7434/QS012/match-stats?isLive=False,01:30:57,90,9,4,33,71,27,33,18,38,3,6,45,71,19,57,13,36,1,8,10,10,32,93,77,164,6,6,57,93,38,57,23,36,7,8,61,93,6,33,20,38,3,6,10,10,26,71,87,164
8,2019-7434-sc77-dc83,/en/scores/2019/7434/QS014/match-stats?isLive=False,00:47:31,47,6,1,30,45,27,30,6,15,1,1,33,45,11,22,12,20,4,5,8,7,23,42,56,87,1,2,22,42,11,22,8,20,1,5,19,42,3,30,9,15,0,1,7,8,12,45,31,87
8,2019-7434--v495,/en/scores/2019/7434/QS013/match-stats?isLive=False,02:00:05,120,15,7,72,121,54,72,20,49,12,15,74,121,3,53,21,35,0,0,16,16,24,88,98,209,24,4,53,88,50,53,14,35,0,0,64,88,18,72,29,49,3,15,16,16,47,121,111,209
8,2019-7434-bc72-mq75,/en/scores/2019/7434/QS015/match-stats?isLive=False,01:11:52,71,11,3,46,70,35,46,10,24,2,3,45,70,9,33,11,24,3,4,11,11,20,57,65,127,8,3,33,57,24,33,13,24,1,4,37,57,11,46,14,24,1,3,11,11,25,70,62,127
8,2019-7434-a622-gc89,/en/scores/2019/7434/QS011/match-stats?isLive=False,01:21:52,81,6,3,29,56,24,29,14,27,0,2,38,56,8,44,14,28,1,4,10,11,22,72,60,128,16,4,44,72,36,44,14,28,3,4,50,72,5,29,13,27,2,2,11,10,18,56,68,128
8,2019-7434-sf76-ce25,/en/scores/2019/7434/QS009/match-stats?isLive=False,02:16:29,136,15,4,64,103,49,64,20,39,3,5,69,103,10,57,23,38,2,7,16,15,33,95,102,198,11,2,57,95,47,57,15,38,5,7,62,95,15,64,19,39,2,5,15,16,34,103,96,198
9,2019-407-w367-mc65,/en/scores/2019/407/MS001/match-stats?isLive=False,01:44:18,104,2,0,41,71,26,41,16,30,6,10,42,71,21,55,12,27,3,10,12,12,33,82,75,153,1,3,55,82,34,55,15,27,7,10,49,82,15,41,14,30,4,10,12,12,29,71,78,153
9,2019-407-n552-f724,/en/scores/2019/407/MS004/match-stats?isLive=False,01:18:03,78,3,0,36,56,26,36,8,20,1,3,34,56,20,35,12,18,5,8,9,8,32,53,66,109,2,1,35,53,15,35,6,18,3,8,21,53,10,36,12,20,2,3,8,9,22,56,43,109
9,2019-407-n552-w367,/en/scores/2019/407/MS002/match-stats?isLive=False,02:13:27,133,0,2,65,100,35,65,22,35,9,14,57,100,11,48,18,33,3,7,14,14,29,81,86,181,8,1,48,81,37,48,15,33,4,7,52,81,30,65,13,35,5,14,14,14,43,100,95,181
9,2019-407-mc65-mm58,/en/scores/2019/407/MS003/match-stats?isLive=False,02:08:54,128,4,5,71,94,44,71,12,23,1,5,56,94,16,51,26,39,5,10,15,14,42,90,98,184,5,3,51,90,35,51,13,39,5,10,48,90,27,71,11,23,4,5,14,15,38,94,86,184
9,2019-407-mm58-t786,/en/scores/2019/407/MS007/match-stats?isLive=False,01:32:26,92,7,0,33,55,27,33,13,22,2,2,40,55,14,39,18,32,3,10,9,9,32,71,72,126,1,2,39,71,25,39,14,32,7,10,39,71,6,33,9,22,0,2,9,9,15,55,54,126
9,2019-407-w367-su55,/en/scores/2019/407/MS005/match-stats?isLive=False,01:29:18,89,3,0,32,64,25,32,19,32,0,2,44,64,10,44,15,21,3,8,11,11,25,65,69,129,3,7,44,65,34,44,6,21,5,8,40,65,7,32,13,32,2,2,11,11,20,64,60,129
9,2019-407-mc65-d923,/en/scores/2019/407/MS006/match-stats?isLive=False,01:09:54,69,4,3,36,60,24,36,14,24,3,4,38,60,18,31,9,17,5,8,8,7,27,48,65,108,0,1,31,48,13,31,8,17,3,8,21,48,12,36,10,24,1,4,7,8,22,60,43,108
9,2019-407-n552-g858,/en/scores/2019/407/MS008/match-stats?isLive=False,01:14:39,74,1,2,27,47,19,27,15,20,0,1,34,47,10,24,14,24,4,6,9,8,24,48,58,95,4,2,24,48,14,24,10,24,2,6,24,48,8,27,5,20,1,1,8,9,13,47,37,95
